"","CASEID","NEWRACE2","IRSEX","CATAG6","MJEVER"
"719",719,5,2,1,1
"720",720,3,2,1,2
"721",721,5,1,1,2
"722",722,1,2,1,2
"723",723,7,1,4,2
"724",724,1,2,6,2
"725",725,2,2,2,1
"726",726,7,1,2,2
"727",727,1,2,4,2
"728",728,1,2,1,2
"729",729,1,1,2,1
"730",730,1,2,2,1
"731",731,1,1,4,1
"732",732,1,1,2,1
"733",733,7,1,4,2
"734",734,1,2,4,1
"735",735,7,1,2,2
"736",736,2,1,1,2
"737",737,7,1,6,2
"738",738,1,2,1,2
"739",739,7,1,4,2
"740",740,1,2,3,1
"741",741,1,2,2,2
"742",742,2,2,5,1
"743",743,1,1,2,1
"744",744,1,2,6,2
"745",745,1,2,2,2
"746",746,1,2,4,2
"747",747,1,1,4,2
"748",748,1,1,4,2
"749",749,1,1,1,2
"750",750,1,1,5,1
"751",751,1,2,4,2
"752",752,1,2,2,2
"753",753,1,2,2,2
"754",754,1,1,3,1
"755",755,2,1,5,2
"756",756,1,2,4,1
"757",757,1,1,4,1
"758",758,1,1,4,1
"759",759,1,2,2,1
"760",760,1,1,1,2
"761",761,1,1,1,2
"762",762,1,1,4,2
"763",763,1,1,3,1
"764",764,7,1,1,1
"765",765,1,2,3,1
"766",766,1,2,1,1
"767",767,1,2,4,1
"768",768,1,1,2,1
"769",769,1,2,3,1
"770",770,1,2,1,2
"771",771,1,2,2,1
"772",772,1,2,6,2
"773",773,3,1,2,2
"774",774,5,1,1,1
"775",775,1,1,4,1
"776",776,7,1,1,2
"777",777,1,1,1,2
"778",778,1,2,2,1
"779",779,1,1,1,2
"780",780,7,2,3,2
"781",781,2,2,2,1
"782",782,7,1,1,2
"783",783,7,2,2,2
"784",784,2,2,1,2
"785",785,6,1,5,1
"786",786,1,2,4,2
"787",787,7,1,1,2
"788",788,1,1,1,2
"789",789,1,1,1,2
"790",790,1,2,2,1
"791",791,7,2,1,2
"792",792,1,1,1,2
"793",793,2,1,1,2
"794",794,1,2,5,2
"795",795,1,2,2,1
"796",796,6,2,1,2
"797",797,1,2,1,2
"798",798,2,2,5,2
"799",799,1,2,1,2
"800",800,1,2,1,2
"801",801,2,2,1,2
"802",802,1,1,5,1
"803",803,5,1,1,1
"804",804,1,1,1,2
"805",805,1,2,4,2
"806",806,1,2,4,1
"807",807,7,1,4,2
"808",808,1,1,6,2
"809",809,1,1,4,1
"810",810,1,2,5,2
"811",811,2,2,1,2
"812",812,7,2,1,2
"813",813,3,2,3,2
"814",814,1,2,5,2
"815",815,1,1,1,1
"816",816,1,2,5,2
"817",817,1,1,6,2
"818",818,1,2,4,1
"819",819,1,1,4,1
"820",820,2,1,2,2
"821",821,1,2,2,1
"822",822,1,2,6,1
"823",823,1,2,5,1
"824",824,7,2,3,2
"825",825,1,2,4,1
"826",826,7,2,1,2
"827",827,1,1,2,1
"828",828,1,1,2,1
"829",829,7,2,1,1
"830",830,1,2,2,2
"831",831,4,1,4,2
"832",832,1,1,6,2
"833",833,1,2,5,1
"834",834,2,1,5,1
"835",835,1,2,2,1
"836",836,7,2,1,2
"837",837,1,2,1,2
"838",838,1,1,5,1
"839",839,1,1,2,2
"840",840,3,1,1,2
"841",841,2,2,5,2
"842",842,1,1,4,1
"843",843,2,1,2,1
"844",844,1,2,2,1
"845",845,2,1,4,2
"846",846,2,1,1,2
"847",847,7,2,1,1
"848",848,2,1,2,1
"849",849,2,2,5,1
"850",850,5,2,2,2
"851",851,1,1,2,1
"852",852,1,1,2,1
"853",853,7,2,2,2
"854",854,1,1,2,2
"855",855,1,2,3,2
"856",856,6,1,1,2
"857",857,1,1,2,1
"858",858,5,2,5,2
"859",859,1,1,3,1
"860",860,7,2,3,1
"861",861,1,1,3,1
"862",862,5,2,3,2
"863",863,1,2,6,2
"864",864,2,1,4,2
"865",865,7,1,2,1
"866",866,1,2,2,1
"867",867,1,2,2,1
"868",868,1,1,1,2
"869",869,7,2,6,2
"870",870,1,2,4,1
"871",871,1,2,5,1
"872",872,1,2,1,2
"873",873,1,1,5,1
"874",874,1,2,4,2
"875",875,1,2,4,1
"876",876,1,1,4,2
"877",877,1,2,2,1
"878",878,4,1,3,1
"879",879,1,2,3,1
"880",880,1,1,4,1
"881",881,1,2,4,2
"882",882,1,1,2,1
"883",883,1,2,4,2
"884",884,2,1,1,2
"885",885,5,2,5,1
"886",886,1,1,5,1
"887",887,7,2,2,2
"888",888,6,1,1,1
"889",889,7,1,4,2
"890",890,1,1,1,2
"891",891,1,2,4,2
"892",892,1,2,5,1
"893",893,1,2,4,2
"894",894,1,1,5,2
"895",895,5,1,3,2
"896",896,1,1,4,1
"897",897,1,2,3,2
"898",898,6,1,2,1
"899",899,1,2,4,1
"900",900,7,2,2,2
"901",901,7,1,3,1
"902",902,1,2,1,2
"903",903,1,1,1,2
"904",904,1,1,2,1
"905",905,1,1,1,2
"906",906,1,1,4,2
"907",907,1,1,5,2
"908",908,1,2,4,2
"909",909,1,1,5,2
"910",910,2,2,3,2
"911",911,7,2,6,2
"912",912,1,1,2,1
"913",913,7,1,1,2
"914",914,1,1,1,2
"915",915,1,2,2,1
"916",916,1,2,3,2
"917",917,1,2,2,2
"918",918,1,2,1,1
"919",919,1,2,6,2
"920",920,1,2,3,2
"921",921,5,2,2,2
"922",922,1,1,3,1
"923",923,7,1,2,1
"924",924,7,1,5,1
"925",925,1,1,4,2
